*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  3 2025 09:07:16
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Set TX power to: 8 dBm (0x08)
Initialization complete
Setting up for packet receiption
----------------------
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  0 | TX: 22 dBm | RSSI:-45 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  1 | TX: 22 dBm | RSSI:-40 dBm (Very Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  2 | TX: 22 dBm | RSSI:-43 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  3 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  4 | TX: 22 dBm | RSSI:-45 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  5 | TX: 22 dBm | RSSI:-45 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  6 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  7 | TX: 22 dBm | RSSI:-49 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  8 | TX: 22 dBm | RSSI:-51 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:  9 | TX: 22 dBm | RSSI:-53 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 10 | TX: 22 dBm | RSSI:-50 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 11 | TX: 22 dBm | RSSI:-51 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 12 | TX: 22 dBm | RSSI:-57 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 13 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 14 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 15 | TX: 22 dBm | RSSI:-54 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 16 | TX: 22 dBm | RSSI:-60 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 17 | TX: 22 dBm | RSSI:-56 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 18 | TX: 22 dBm | RSSI:-53 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 19 | TX: 22 dBm | RSSI:-49 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 20 | TX: 22 dBm | RSSI:-46 dBm (Good)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 21 | TX: 22 dBm | RSSI:-55 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 22 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 23 | TX: 22 dBm | RSSI:-60 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 24 | TX: 22 dBm | RSSI:-51 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 25 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 26 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 27 | TX: 22 dBm | RSSI:-59 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 28 | TX: 22 dBm | RSSI:-56 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 29 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 30 | TX: 22 dBm | RSSI:-54 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 31 | TX: 22 dBm | RSSI:-57 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 32 | TX: 22 dBm | RSSI:-52 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 33 | TX: 22 dBm | RSSI:-53 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 34 | TX: 22 dBm | RSSI:-54 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 35 | TX: 22 dBm | RSSI:-55 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 36 | TX: 22 dBm | RSSI:-51 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 37 | TX: 22 dBm | RSSI:-55 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 38 | TX: 22 dBm | RSSI:-57 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 39 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 40 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 41 | TX: 22 dBm | RSSI:-68 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 42 | TX: 22 dBm | RSSI:-58 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 43 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 44 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 45 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 46 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 47 | TX: 22 dBm | RSSI:-63 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 48 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 49 | TX: 22 dBm | RSSI:-60 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 50 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 51 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 52 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 53 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 54 | TX: 22 dBm | RSSI:-63 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 55 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 56 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 57 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 58 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 59 | TX: 22 dBm | RSSI:-67 dBm (Weak)
